ID Wedge_name Max_depth young friction radius_diff
224 '90' 0.033 2700000.0 45.0 0.0
225 '90' 0.033 2700000.0 45.25 0.0
226 '90' 0.033 2700000.0 45.5 0.0
227 '90' 0.033 2700000.0 45.75 0.0
228 '90' 0.033 2700000.0 46.0 0.0
229 '90' 0.033 2700000.0 44.0 -0.0001
230 '90' 0.033 2700000.0 44.0 -8.75e-05
231 '90' 0.033 2700000.0 44.0 -7.500000000000001e-05
232 '90' 0.033 2700000.0 44.0 -6.25e-05
233 '90' 0.033 2700000.0 44.0 -5e-05
234 '90' 0.033 2700000.0 44.0 -3.7500000000000003e-05
235 '90' 0.033 2700000.0 44.0 -2.5e-05
236 '90' 0.033 2700000.0 44.0 -1.25e-05
237 '90' 0.033 2700000.0 44.0 1.25e-05
238 '90' 0.033 2700000.0 44.0 2.5e-05
239 '90' 0.033 2700000.0 44.0 3.7500000000000003e-05
240 '90' 0.033 2700000.0 44.0 5e-05
241 '90' 0.033 2700000.0 44.0 6.25e-05
242 '90' 0.033 2700000.0 44.0 7.500000000000001e-05
243 '90' 0.033 2700000.0 44.0 8.75e-05
244 '90' 0.033 2700000.0 44.0 0.0001
